,Topic,Frequency,Year
1,Community life,390,1935
2,Israel,187,1935
3,Sports,105,1935
4,The Holocaust,192,1935
5,Clubs and education,47,1935
6,Arts and culture,417,1935
8,Community life,697,1936
9,Israel,434,1936
10,Sports,292,1936
11,The Holocaust,362,1936
12,Clubs and education,68,1936
13,Arts and culture,536,1936
15,Community life,748,1937
16,Israel,367,1937
17,Sports,286,1937
18,The Holocaust,398,1937
19,Clubs and education,100,1937
20,Arts and culture,155,1937
22,Community life,571,1938
23,Israel,332,1938
24,Sports,291,1938
25,The Holocaust,698,1938
26,Clubs and education,60,1938
27,Arts and culture,199,1938
29,Community life,564,1939
30,Israel,354,1939
31,Sports,205,1939
32,The Holocaust,650,1939
33,Clubs and education,68,1939
34,Arts and culture,312,1939
36,Community life,498,1940
37,Israel,296,1940
38,Sports,179,1940
39,The Holocaust,530,1940
40,Clubs and education,63,1940
41,Arts and culture,281,1940
43,Community life,530,1941
44,Israel,274,1941
45,Sports,82,1941
46,The Holocaust,376,1941
47,Clubs and education,148,1941
48,Arts and culture,179,1941
50,Community life,389,1942
51,Israel,251,1942
52,Sports,11,1942
53,The Holocaust,230,1942
54,Clubs and education,138,1942
55,Arts and culture,104,1942
57,Community life,476,1943
58,Israel,389,1943
59,Sports,15,1943
60,The Holocaust,425,1943
61,Clubs and education,140,1943
62,Arts and culture,112,1943
64,Community life,573,1944
65,Israel,391,1944
66,Sports,38,1944
67,The Holocaust,492,1944
68,Clubs and education,174,1944
69,Arts and culture,134,1944
71,Community life,576,1945
72,Israel,357,1945
73,Sports,75,1945
74,The Holocaust,285,1945
75,Clubs and education,151,1945
76,Arts and culture,157,1945
78,Community life,728,1946
79,Israel,466,1946
80,Sports,131,1946
81,The Holocaust,249,1946
82,Clubs and education,193,1946
83,Arts and culture,161,1946
85,Community life,669,1947
86,Israel,463,1947
87,Sports,186,1947
88,The Holocaust,245,1947
89,Clubs and education,223,1947
90,Arts and culture,190,1947
92,Community life,657,1948
93,Israel,647,1948
94,Sports,201,1948
95,The Holocaust,273,1948
96,Clubs and education,243,1948
97,Arts and culture,172,1948
99,Community life,662,1949
100,Israel,585,1949
101,Sports,201,1949
102,The Holocaust,302,1949
103,Clubs and education,264,1949
104,Arts and culture,221,1949
106,Community life,895,1950
107,Israel,521,1950
108,Sports,249,1950
109,The Holocaust,279,1950
110,Clubs and education,262,1950
111,Arts and culture,236,1950
113,Community life,1032,1951
114,Israel,568,1951
115,Sports,491,1951
116,The Holocaust,344,1951
117,Clubs and education,393,1951
118,Arts and culture,84,1951
120,Community life,1167,1952
121,Israel,484,1952
122,Sports,797,1952
123,The Holocaust,295,1952
124,Clubs and education,491,1952
125,Arts and culture,118,1952
127,Community life,565,1953
128,Israel,302,1953
129,Sports,406,1953
130,The Holocaust,169,1953
131,Clubs and education,281,1953
132,Arts and culture,34,1953
134,Community life,1237,1954
135,Israel,458,1954
136,Sports,628,1954
137,The Holocaust,183,1954
138,Clubs and education,566,1954
139,Arts and culture,115,1954
141,Community life,1217,1955
142,Israel,522,1955
143,Sports,720,1955
144,The Holocaust,178,1955
145,Clubs and education,549,1955
146,Arts and culture,145,1955
148,Community life,975,1956
149,Israel,557,1956
150,Sports,697,1956
151,The Holocaust,156,1956
152,Clubs and education,487,1956
153,Arts and culture,82,1956
155,Community life,989,1957
156,Israel,657,1957
157,Sports,704,1957
158,The Holocaust,124,1957
159,Clubs and education,496,1957
160,Arts and culture,101,1957
162,Community life,972,1958
163,Israel,609,1958
164,Sports,671,1958
165,The Holocaust,202,1958
166,Clubs and education,468,1958
167,Arts and culture,106,1958
169,Community life,1076,1959
170,Israel,493,1959
171,Sports,814,1959
172,The Holocaust,194,1959
173,Clubs and education,490,1959
174,Arts and culture,121,1959
176,Community life,10,1960
177,Israel,17,1960
178,Sports,14,1960
179,The Holocaust,12,1960
180,Clubs and education,17,1960
181,Arts and culture,6,1960
